ALFA ROMEO,445,470,363,151,124,170,120,16,36,43
AUDI,4299,5276,5059,2388,2723,3406,3647,3687,4259,5210
BMW,6016,6952,5627,1405,2493,3263,3329,3530,4011,4825
CHEVROLET,3016,2278,1304,277,372,422,28,0,0,0
CHRYSLER,494,296,161,33,2,15,115,12,23,23
CITROEN,3108,2131,2391,819,1063,1236,1161,1220,1409,1830
DACIA,0,0,0,0,0,0,0,1286,2693,3778
DAIHATSU,457,712,464,62,26,5,1,0,0,0
FIAT,3115,2502,1940,820,1507,855,664,457,601,641
FORD,20223,21256,19077,8121,11215,10428,8563,7619,9479,12031
OPEL,13599,16262,12659,4046,6603,6377,5102,4913,6356,7474
HONDA,3578,4035,3127,1120,1183,993,1102,1003,1365,1501
HYUNDAI,7088,6820,5346,1665,2959,3895,5206,5827,8158,11441
JAGUAR,356,341,403,195,214,125,200,154,190,268
JEEP,0,0,83,13,2,3,0,0,0,93
KIA,3395,3790,3744,1518,2567,2646,3117,3350,4236,5478
LAND ROVER,1576,2077,1402,89,234,438,498,406,532,760
LEXUS,1426,1591,1032,215,301,412,264,184,351,497
MAZDA,3355,4176,4412,1682,2243,1796,1433,1408,1792,2233
MERCEDES-BENZ,5263,5275,4056,1370,2059,1905,1834,1459,2050,2616
MINI,919,1386,1106,263,370,413,440,464,484,662
MITSUBISHI,2012,1863,1912,616,916,608,361,484,592,872
NISSAN,13660,13941,11242,4684,5494,6699,6023,5312,7025,11186
PERODUA,0,13,9,20,17,24,8,14,6,2
PEUGEOT,7736,7598,5398,1766,2924,2719,2226,2194,2820,3497
PORSCHE,94,85,54,11,1,0,15,24,48,85
RENAULT,9031,6446,5993,2414,9746,8564,5255,3314,4881,6088
SAAB,1262,1083,899,99,81,138,6,1,0,0
SEAT,3128,3345,2678,690,1642,1759,1360,2190,2402,2495
SKODA,5385,6280,4536,2390,4915,4641,5078,4902,6295,7814
SUBARU,550,436,372,249,224,208,143,114,157,199
SUZUKI,4078,3753,2922,575,656,602,630,578,653,878
TOYOTA,25538,28023,21323,7603,10660,11646,9956,7661,10272,12977
VOLKSWAGEN,20150,21274,15890,6174,10301,11196,10051,9492,11653,15311
VOLVO,2820,3010,2841,762,919,1264,1154,883,1195,1546
PRIVATE IMPORT,0,0,0,0,1603,1025,408,102,187,145
OTHER,1473,1598,1741,3102,0,0,0,40,127,0